"","V1","V2","V3","V4","V5"
"47","0.223333333333333","0.138427575530329","0.0244251042216981","0.142294890728585","pn500"
"48","0.208181818181818","0.1224371053756","0.0223277167136628","0.127913456869517","pn500"
"49","0.193939393939394","0.107497160654066","0.0205839155158891","0.114333234770889","pn500"
"50","0.179393939393939","0.092326268082988","0.01902032045183","0.100404563435039","pn500"
"51","0.164545454545455","0.0769294211574042","0.0176494152590826","0.0861233890136001","pn500"
"52","0.14969696969697","0.061624022171136","0.0165071299146242","0.0717783014809987","pn500"
"53","0.135757575757576","0.0473410276232727","0.0156481283934507","0.0582512066867927","pn500"
"54","0.120606060606061","0.0319025971528286","0.0149308400961284","0.0434860274411613","pn500"
"55","0.106060606060606","0.0171715274966667","0.01446680231936","0.029246678939193","pn500"
"56","0.0909090909090909","0.00191594248153536","0.0142066276603196","0.0143489284761293","pn500"
"57","0.076969696969697","-0.0120341342886647","0.0141799205833043","0.000580332691247614","pn500"
"58","0.0621212121212121","-0.0267754059407596","0.0143586092439541","-0.014147929910102","pn500"
"59","0.0478787878787879","-0.040789022168781","0.0147399559346256","-0.0283383713195382","pn500"
"60","0.033030303030303","-0.0552741139106713","0.0153456111122832","-0.0431591461149104","pn500"
"61","0.0184848484848485","-0.0693371761892691","0.0161495982237112","-0.0575021940900341","pn500"
"62","0.00363636363636364","-0.0835679298317041","0.0171791502337943","-0.0719711273867379","pn500"
"63","-0.0106060606060606","-0.0970962281282937","0.0183693601435185","-0.0370470714214879","pn500"
"64","-0.0251515151515152","-0.110794297410083","0.0197816689162937","-0.0494339826461756","pn500"
"65","-0.04","-0.124655705790733","0.0214267963626858","-0.061912710375368","pn500"
"66","-0.0539393939393939","-0.137552524736241","0.0231644213524961","-0.0734702050147205","pn500"
"67","-0.0687878787878788","-0.151175541637075","0.025206867931913","-0.0856263052655423","pn500"
"68","-0.0836363636363636","-0.164677189841884","0.0274515956713726","-0.0976192194845358","pn500"
"69","-0.0981818181818182","-0.177785461639628","0.0298469002508909","-0.109209660357037","pn500"
"70","-0.112727272727273","-0.190779333974409","0.0324328706020127","-0.120647659505787","pn500"
"71","-0.127575757575758","-0.20392814839294","0.0352656546519358","-0.132170364336416","pn500"
"72","-0.141515151515152","-0.216161961454866","0.0381082894477162","-0.142842348889136","pn500"
"73","-0.156969696969697","-0.229612095994103","0.0414489743065641","-0.15452514429468","pn500"
