"","V1","V2","V3","V4","V5"
"32","0.249393939393939","0.168630260049248","0.0297580501066208","0.192591785392115","pn500csh"
"33","0.227575757575758","0.145340395961545","0.026078844432819","0.169714761703601","pn500csh"
"34","0.204545454545455","0.120971199586627","0.0227316110712804","0.145710810400468","pn500csh"
"35","0.181212121212121","0.0965088017238185","0.0199089497475924","0.121544113533924","pn500csh"
"36","0.157878787878788","0.0722747195743962","0.01765707770737","0.0975315253474146","pn500csh"
"37","0.133939393939394","0.047643240441502","0.0159268647236193","0.0730522970355298","pn500csh"
"38","0.110909090909091","0.0241740421053136","0.0148296264589059","0.0496566843866795","pn500csh"
"39","0.0875757575757576","0.000615084378997353","0.0142655654764486","0.0261023371827598","pn500csh"
"40","0.0642424242424242","-0.0227239897418733","0.0142512135076053","0.00269808174892916","pn500csh"
"41","0.0403030303030303","-0.0463369845558839","0.0147952120499107","-0.021156046089541","pn500csh"
"42","0.0172727272727273","-0.0687269947086875","0.0158623668457432","-0.0438978616932183","pn500csh"
"43","-0.00515151515151515","-0.0902265466586676","0.0174035176361805","-0.068250330359102","pn500csh"
"44","-0.0290909090909091","-0.11286995929151","0.0195634864804334","-0.0891483930022506","pn500csh"
"45","-0.0521212121212121","-0.134340604702512","0.0221629158459348","-0.109048191750848","pn500csh"
"46","-0.0757575757575758","-0.156071774308549","0.0253382392298124","-0.129271539876112","pn500csh"
"47","-0.0987878787878788","-0.17694544918477","0.0289326194866154","-0.148778103762811","pn500csh"
"48","-0.121212121212121","-0.196988971019981","0.0329004871350011","-0.167585073752177","pn500csh"
"49","-0.144545454545455","-0.217564458759035","0.0374968964588007","-0.186967497351126","pn500csh"
"50","-0.168181818181818","-0.238115362798452","0.0426393291203779","-0.206406344777675","pn500csh"
"51","-0.191818181818182","-0.25837481765331","0.0482675104228867","-0.225649235298135","pn500csh"
"52","-0.214545454545455","-0.277578797412584","0.0541396653695529","-0.243965428440806","pn500csh"
"53","-0.238181818181818","-0.297278589012914","0.0607006187629412","-0.262829392430554","pn500csh"
"54","-0.261212121212121","-0.316201042449584","0.0675470347523295","-0.28102410402185","pn500csh"
"55","-0.284848484848485","-0.335353100393026","0.0750208775738652","-0.299513773395364","pn500csh"
"56","-0.308484848484848","-0.354233547332907","0.0829474054013367","-0.317816532168217","pn500csh"
"57","-0.331818181818182","-0.37260761100358","0.0912128548391045","-0.335701896984988","pn500csh"
"58","-0.355151515151515","-0.390724437782863","0.0999070324291881","-0.353408558417717","pn500csh"
"59","-0.378787878787879","-0.408819618483397","0.109142337322238","-0.371165827638221","pn500csh"
"60","-0.402424242424242","-0.426658176621269","0.118805346486391","-0.388743137801948","pn500csh"
"61","-0.41969696969697","-0.439509173699921","0.126174896809849","-0.40145817516433","pn500csh"
"62","-0.418484848484848","-0.438083957130854","0.125642158417485","-0.400222631687323","pn500csh"
"63","-0.400606060606061","-0.41707220519501","0.117809748274843","-0.382004291594541","pn500csh"
"64","-0.376363636363636","-0.388785444417361","0.107698906936782","-0.357433740038523","pn500csh"
"65","-0.353030303030303","-0.361823446936132","0.0986272465670435","-0.333956854507262","pn500csh"
"66","-0.32969696969697","-0.335113094764728","0.0901846994718671","-0.310644577085272","pn500csh"
"67","-0.306060606060606","-0.308308389141498","0.0822638445047008","-0.287195158366339","pn500csh"
"68","-0.283030303030303","-0.28243791185971","0.0751634088759875","-0.264509417672579","pn500csh"
"69","-0.25969696969697","-0.256468491349019","0.0685731909325942","-0.241684387958497","pn500csh"
"70","-0.236363636363636","-0.230741452096428","0.0625889261344505","-0.219019612981907","pn500csh"
"71","-0.212424242424242","-0.204592533949081","0.0570651156145663","-0.195929446906377","pn500csh"
"72","-0.189090909090909","-0.179349670298889","0.0522912898224211","-0.173586102046746","pn500csh"
"73","-0.165454545454545","-0.154017637052427","0.0480521157971746","-0.1511116744946","pn500csh"
"74","-0.142121212121212","-0.129246805773271","0.0444583709326179","-0.12908343514656","pn500csh"
"75","-0.11969696969697","-0.105663258666941","0.0415601092273991","-0.108062395136686","pn500csh"
"76","-0.0963636363636364","-0.0813437349193831","0.0390946331918372","-0.0863370917114733","pn500csh"
"77","-0.0733333333333333","-0.057564083543156","0.0372212623270271","-0.0650449358456925","pn500csh"
"78","-0.0493939393939394","-0.0330734698946822","0.0358432130543273","-0.04306619216898","pn500csh"
"79","-0.026969696969697","-0.010352568467748","0.0351015655475981","-0.0226274016634593","pn500csh"
"80","-0.00363636363636364","0.0130773888379509","0.034860005616684","-0.00150414529962177","pn500csh"
"81","0.0203030303030303","0.0368289439194907","0.0351730703797743","0.0248927906003089","pn500csh"
"82","0.0427272727272727","0.0587576696437254","0.0359989315464538","0.0470162956799576","pn500csh"
"83","0.0660606060606061","0.0812683956020466","0.0373699438381408","0.0698389409863283","pn500csh"
"84","0.0896969696969697","0.103752225628054","0.0392908331887346","0.0927514405727233","pn500csh"
"85","0.112727272727273","0.125348861540587","0.041680278385017","0.114874525242318","pn500csh"
"86","0.135454545454545","0.146366831610489","0.0445291161473031","0.136514232167935","pn500csh"
"87","0.158787878787879","0.167651029301275","0.0479443422182145","0.158537987964175","pn500csh"
"88","0.182424242424242","0.188909796522093","0.0519070029107901","0.180648890153671","pn500csh"
