"","V1","V2","V3","V4","V5"
"37","0.314242424242424","0.233763636098345","0.0410273583703839","0.251694918706327","pn500c"
"38","0.297878787878788","0.215869910480247","0.0372021352342292","0.235641951132887","pn500c"
"39","0.281818181818182","0.198422503782616","0.0337351336416677","0.219885489008701","pn500c"
"40","0.265454545454545","0.180760101939675","0.0304882199434067","0.203830974240382","pn500c"
"41","0.249090909090909","0.163213308545161","0.027530327366212","0.187775714440271","pn500c"
"42","0.232121212121212","0.145135739420491","0.024760646978779","0.171125057094572","pn500c"
"43","0.216060606060606","0.128142746185426","0.0224296790426317","0.155365704648631","pn500c"
"44","0.199393939393939","0.11062179454419","0.0202939666062079","0.139010978966569","pn500c"
"45","0.183333333333333","0.0938505272580269","0.0185173135423164","0.123250330479402","pn500c"
"46","0.167272727272727","0.0771870026586723","0.0170100171954451","0.107489080810074","pn500c"
"47","0.150606060606061","0.0600057559742812","0.0157235671511339","0.0911324608786808","pn500c"
"48","0.134545454545455","0.0435596583904464","0.0147598383430621","0.075370056272502","pn500c"
"49","0.119090909090909","0.0278358350476691","0.0140866436224824","0.0602019513307239","pn500c"
"50","0.103030303030303","0.0115964048346356","0.0136395832414138","0.0444385248948766","pn500c"
"51","0.086969696969697","-0.00453869934187785","0.0134533379516454","0.0286746112863078","pn500c"
"52","0.07","-0.0214621841000939","0.0135303583041137","0.0120179078260506","pn500c"
"53","0.0539393939393939","-0.0373159727502809","0.0138750539881455","-0.00374693669530978","pn500c"
"54","0.0375757575757576","-0.0533132341087326","0.0144856789967864","-0.0197357248576001","pn500c"
"55","0.0212121212121212","-0.0691534314465742","0.0153580773731111","-0.0355659600139019","pn500c"
"56","0.00575757575757576","-0.0839667359913423","0.01642681222274","-0.0506313790260374","pn500c"
"57","-0.0096969696969697","-0.098642680803059","0.017724479960788","-0.0549238847717476","pn500c"
"58","-0.0257575757575758","-0.113752730121381","0.0193087411979281","-0.068668322442","pn500c"
"59","-0.0415151515151515","-0.128434825521446","0.0211012084604468","-0.0820000965881735","pn500c"
"60","-0.0581818181818182","-0.143817143932898","0.0232417888858042","-0.0959436662109636","pn500c"
"61","-0.0739393939393939","-0.158214993966017","0.025507998426565","-0.10897108074544","pn500c"
"62","-0.0906060606060606","-0.173299510693024","0.0281449149926653","-0.122596273190622","pn500c"
